"EOrd11791","IA, administrativeArea2, ocd-division/country:us/state:ia/county:scott, Scott County","No_Match"
"EOrd11790","IA, administrativeArea2, ocd-division/country:us/state:ia/county:linn, Linn County","No_Match"
"EOrd24619","TX, administrativeArea2, ocd-division/country:us/state:tx/county:cooke, Cooke County","No_Match"
"EOrd11795","IA, administrativeArea2, ocd-division/country:us/state:ia/county:dubuque, Dubuque County","No_Match"
"EOrd12642","IL, administrativeArea2, ocd-division/country:us/state:il/county:jefferson, Jefferson County","No_Match"
"EOrd11794","IA, administrativeArea2, ocd-division/country:us/state:ia/county:woodbury, Woodbury County","No_Match"
"EOrd12641","IL, administrativeArea2, ocd-division/country:us/state:il/county:franklin, Franklin County","No_Match"
"EOrd11793","IA, administrativeArea2, ocd-division/country:us/state:ia/county:black_hawk, Black Hawk County","No_Match"
"EOrd19279","NC, administrativeArea2, ocd-division/country:us/state:nc/county:stokes, Stokes County","No_Match"
"EOrd12640","IL, administrativeArea2, ocd-division/country:us/state:il/county:woodford, Woodford County","No_Match"
"EOrd11792","IA, administrativeArea2, ocd-division/country:us/state:ia/county:johnson, Johnson County","No_Match"
"EOrd11799","IA, administrativeArea2, ocd-division/country:us/state:ia/county:clinton, Clinton County","No_Match"
"EOrd12646","IL, administrativeArea2, ocd-division/country:us/state:il/county:fulton, Fulton County","No_Match"
"EOrd11798","IA, administrativeArea2, ocd-division/country:us/state:ia/county:dallas, Dallas County","No_Match"
"EOrd12645","IL, administrativeArea2, ocd-division/country:us/state:il/county:clinton, Clinton County","No_Match"
"EOrd11797","IA, administrativeArea2, ocd-division/country:us/state:ia/county:story, Story County","No_Match"
"EOrd12644","IL, administrativeArea2, ocd-division/country:us/state:il/county:livingston, Livingston County","No_Match"
"EOrd11796","IA, administrativeArea2, ocd-division/country:us/state:ia/county:pottawattamie, Pottawattamie County","No_Match"
"EOrd12643","IL, administrativeArea2, ocd-division/country:us/state:il/county:marion, Marion County","No_Match"
"EOrd12649","IL, administrativeArea2, ocd-division/country:us/state:il/county:effingham, Effingham County","No_Match"
"EOrd12648","IL, administrativeArea2, ocd-division/country:us/state:il/county:lee, Lee County","No_Match"
"EOrd12647","IL, administrativeArea2, ocd-division/country:us/state:il/county:morgan, Morgan County","No_Match"
"EOrd12629","IL, administrativeArea2, ocd-division/country:us/state:il/county:adams, Adams County","No_Match"
"EOrd24610","TX, administrativeArea2, ocd-division/country:us/state:tx/county:wilson, Wilson County","No_Match"
"EOrd19266","NC, administrativeArea2, ocd-division/country:us/state:nc/county:stanly, Stanly County","No_Match"
"EOrd24613","TX, administrativeArea2, ocd-division/country:us/state:tx/county:wood, Wood County","No_Match"
"EOrd19267","NC, administrativeArea2, ocd-division/country:us/state:nc/county:lee, Lee County","No_Match"
"EOrd24614","TX, administrativeArea2, ocd-division/country:us/state:tx/county:jim_wells, Jim Wells County","No_Match"
"EOrd19264","NC, administrativeArea2, ocd-division/country:us/state:nc/county:sampson, Sampson County","No_Match"
"EOrd24611","TX, administrativeArea2, ocd-division/country:us/state:tx/county:waller, Waller County","No_Match"
"EOrd19265","NC, administrativeArea2, ocd-division/country:us/state:nc/county:franklin, Franklin County","No_Match"
